uniName,from,type
vprfk,trvbych学院,阅读
geyvc,kalkbvo学院,阅读
pftdo,mahwnfl学院,政治
duxfi,plzgfxz学院,无聊
elmgl,fefdyqp学院,阅读
glzmg,ayoamox学院,语言
xtzqh,oedmwiw学院,竞赛
gdfmz,lxiyciu学院,学术
hcmjp,rtpinoz学院,政治
nteto,ualcmuz学院,学术
mjexm,ygqvtgo学院,娱乐
smvlm,nqcfgag学院,游戏
hzqjm,kepsukp学院,无聊
uvlvm,lanjwjl学院,无聊
sfteh,ytzhucv学院,语言
ozkpu,xnmwouf学院,无聊
xarnn,vrdzepa学院,娱乐
tkdyv,cgykjvp学院,阅读
utraz,jsdbfia学院,娱乐
qvmnr,bhwafck学院,阅读
nfghh,tzvyqln学院,无聊
zolwq,udmkiyi学院,无聊
ylbpt,lwrwoba学院,竞赛
bgsai,cksfxyt学院,无聊
rthhy,xgrilju学院,无聊
tvybc,nigqpcn学院,竞赛
iaacu,rvdeosj学院,无聊
dmzgs,yvbchkg学院,学术
hjdso,oaeauom学院,政治
jyoro,epdhbfs学院,娱乐
